(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
	Mobile/Diffuse (68644 verts): 
		Human_Blazer_001 (142 verts)	-1	False	False	False	1	[HUMAN_ATLAS (UnityEngine.Material)] 	
		Human_Shoes_001 (60 verts)	-1	False	False	False	1	[HUMAN_ATLAS (UnityEngine.Material)] 	
		Human_Shirt_001 (10 verts)	-1	False	False	False	1	[HUMAN_ATLAS (UnityEngine.Material)] 	
		Human_Pants_001 (116 verts)	-1	False	False	False	1	[HUMAN_ATLAS (UnityEngine.Material)] 	
		Human_Head_001 (96 verts)	-1	False	False	False	1	[HUMAN_ATLAS (UnityEngine.Material)] 	
		Human_Suitcase_001 (100 verts)	-1	False	False	False	1	[HUMAN_ATLAS (UnityEngine.Material)] 	
		Human_Blazer_001 (142 verts)	-1	False	False	False	1	[HUMAN_ATLAS (UnityEngine.Material)] 	
		Human_Shoes_001 (60 verts)	-1	False	False	False	1	[HUMAN_ATLAS (UnityEngine.Material)] 	
		Human_Suitcase_001 (100 verts)	-1	False	False	False	1	[HUMAN_ATLAS (UnityEngine.Material)] 	
		Human_Pants_001 (116 verts)	-1	False	False	False	1	[HUMAN_ATLAS (UnityEngine.Material)] 	
		Human_Head_001 (96 verts)	-1	False	False	False	1	[HUMAN_ATLAS (UnityEngine.Material)] 	
		Human_Suitcase_001 (100 verts)	-1	False	False	False	1	[HUMAN_ATLAS (UnityEngine.Material)] 	
		Human_Blazer_001 (142 verts)	-1	False	False	False	1	[HUMAN_ATLAS (UnityEngine.Material)] 	
		Human_Shoes_001 (60 verts)	-1	False	False	False	1	[HUMAN_ATLAS (UnityEngine.Material)] 	
		Human_Shirt_001 (10 verts)	-1	False	False	False	1	[HUMAN_ATLAS (UnityEngine.Material)] 	
		Human_Pants_001 (116 verts)	-1	False	False	False	1	[HUMAN_ATLAS (UnityEngine.Material)] 	
